play,character
julius_caesar_tokens,METELLUS
julius_caesar_tokens,OCTAVIUS
julius_caesar_tokens,PINDARUS
julius_caesar_tokens,POET
julius_caesar_tokens,POPILIUS
julius_caesar_tokens,PORTIA
julius_caesar_tokens,PUBLIUS
julius_caesar_tokens,SECOND CITIZEN
julius_caesar_tokens,SECOND SOLDIER
julius_caesar_tokens,SERVANT
julius_caesar_tokens,SOOTHSAYER
julius_caesar_tokens,STRATO
julius_caesar_tokens,THIRD CITIZEN
julius_caesar_tokens,THIRD SOLDIER
julius_caesar_tokens,TITINIUS
julius_caesar_tokens,TREBONIUS
julius_caesar_tokens,VARRO
julius_caesar_tokens,VOLUMNIUS
king_john_tokens,ARTHUR
king_john_tokens,AUSTRIA
king_john_tokens,BASTARD
king_john_tokens,BIGOT
king_john_tokens,BLANCHE
king_john_tokens,CHATILLION
king_john_tokens,CITIZEN
king_john_tokens,CONSTANCE
king_john_tokens,ENGLISH HERALD
king_john_tokens,ESSEX
king_john_tokens,FIRST CITIZEN
king_john_tokens,FIRST EXECUTIONER
king_john_tokens,FRENCH HERALD
king_john_tokens,GURNEY
king_john_tokens,HUBERT
king_john_tokens,KING JOHN
king_john_tokens,KING PHILIP
king_john_tokens,LADY FAULCONBRIDGE
king_john_tokens,LOUIS
king_john_tokens,MELUN
king_john_tokens,MESSENGER
king_john_tokens,PANDULPH
king_john_tokens,PEMBROKE
king_john_tokens,PETER OF POMFRET
king_john_tokens,PRINCE HENRY
king_john_tokens,QUEEN ELEANOR
king_john_tokens,ROBERT
king_john_tokens,SALISBURY
king_lear_tokens,ALBANY
king_lear_tokens,BURGUNDY
king_lear_tokens,CAPTAIN
king_lear_tokens,CORDELIA
king_lear_tokens,CORNWALL
king_lear_tokens,CURAN
king_lear_tokens,EDGAR
king_lear_tokens,EDMUND
king_lear_tokens,FIRST SERVANT
king_lear_tokens,FOOL
king_lear_tokens,FRANCE
king_lear_tokens,GENTLEMAN
king_lear_tokens,GLOUCESTER
king_lear_tokens,GONERIL
king_lear_tokens,HERALD
king_lear_tokens,KENT
king_lear_tokens,KNIGHT
king_lear_tokens,LEAR
king_lear_tokens,MESSENGER
king_lear_tokens,OFFICER
king_lear_tokens,OLD MAN
king_lear_tokens,OSWALD
king_lear_tokens,PHYSICIAN
king_lear_tokens,REGAN
king_lear_tokens,SECOND SERVANT
king_lear_tokens,THIRD SERVANT
love_s_labour_s_lost_tokens,ARMADO
love_s_labour_s_lost_tokens,BEROWNE
love_s_labour_s_lost_tokens,BOYET
love_s_labour_s_lost_tokens,COSTARD
love_s_labour_s_lost_tokens,DULL
love_s_labour_s_lost_tokens,DUMAINE
love_s_labour_s_lost_tokens,FORESTER
love_s_labour_s_lost_tokens,HOLOFERNES
love_s_labour_s_lost_tokens,JAQUENETTA
