category,name,description,tokens,unique_words,plays,filepath
by_genre,tragedies,All tragedies,296596,15938,12,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/tragedies.csv
by_genre,comedies,All comedies,290494,15010,14,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/comedies.csv
by_genre,histories,All histories,271432,14742,11,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/histories.csv
by_genre,late_romances,"Late Romances (Tempest, Winter's Tale, Cymbeline, Pericles)",89943,8481,4,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/late_romances.csv
by_genre,problem_plays,"Problem Plays (Measure for Measure, All's Well, Troilus and Cressida)",72407,7414,3,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/problem_plays.csv
by_genre,roman_plays,"Roman Plays (Julius Caesar, Antony and Cleopatra, Coriolanus, Titus Andronicus)",95338,8324,4,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/roman_plays.csv
by_genre,early_plays,Early plays (before 1600),452861,18498,20,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/early_plays.csv
by_genre,late_plays,Late plays (1600 and after),405661,18597,17,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_genre/late_plays.csv
by_stopwords,all_no_stopwords,All tokens without stop words,316892,25224,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_stopwords/all_no_stopwords.csv
by_stopwords,dialogue_no_stopwords,Dialogue tokens without stop words,288777,24667,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_stopwords/dialogue_no_stopwords.csv
by_stopwords,tragedies_no_stopwords,Tragedy tokens without stop words,109416,15382,12,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_stopwords/tragedies_no_stopwords.csv
by_character,hamlet_character,All lines spoken by Hamlet,11782,2673,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_character/hamlet_character.csv
by_character,othello_character,All lines spoken by Othello,6258,1643,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_character/othello_character.csv
by_character,lady_macbeth_character,All lines spoken by Lady Macbeth,1920,720,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_character/lady_macbeth_character.csv
by_subset,hsc_plays,HSC English prescribed plays (2019/2027),216055,12998,9,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_subset/hsc_plays.csv
by_subset,hsc_dialogue_filtered,"HSC plays - dialogue only, no stop words",72996,12352,9,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_subset/hsc_dialogue_filtered.csv
by_content,act_v_all,All Act V scenes (endings),148916,11339,37,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_content/act_v_all.csv
by_play,hamlet_act3_scene1,Hamlet Act III Scene I,1545,621,1,/Users/hopeelizamcmanus/R Projects/Shakespeare/data/processed/filtered/by_play/hamlet_act3_scene1.csv
